timestamp,sensor,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,duration,connection_state,alert_signature,alert_category,severity,ml_label,ml_confidence,evidence_summary,tcp_flags,dns_query,http_host,tls_sni
1777725035.479465576,wireshark,52.98.163.34,192.168.1.7,443,58714,eth:ethertype:ip:tcp:tls,99,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725035.479465681,wireshark,52.98.163.34,192.168.1.7,443,58714,eth:ethertype:ip:tcp:tls,99,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725035.479538544,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725035.479585964,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725035.479588713,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725035.479591614,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725035.823900956,wireshark,192.168.1.7,8.8.8.8,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725035.886808776,wireshark,8.8.8.8,192.168.1.7,0,0,eth:ethertype:ip:icmp:data,98,0,0.0,,,,0,unscored,0.0,,,,,
1777725036.260347641,wireshark,192.168.1.7,8.8.8.8,41365,53,eth:ethertype:ip:udp:dns,81,0,0.0,,,,0,unscored,0.0,,,outlook.office365.com,,
1777725036.260410600,wireshark,192.168.1.7,8.8.8.8,39428,53,eth:ethertype:ip:udp:dns,81,0,0.0,,,,0,unscored,0.0,,,outlook.office365.com,,
1777725036.260640467,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp,1434,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725036.260647556,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp,1434,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725036.260652598,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp,1434,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725036.260654718,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp:tls,336,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725036.263121473,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp:tls,97,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725036.528375602,wireshark,192.168.1.7,52.98.163.34,58714,443,eth:ethertype:ip:tcp,97,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725036.531479934,wireshark,52.98.163.34,192.168.1.7,443,58714,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725036.531480132,wireshark,52.98.163.34,192.168.1.7,443,58714,eth:ethertype:ip:tcp,66,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725036.531503399,wireshark,8.8.8.8,192.168.1.7,53,39428,eth:ethertype:ip:udp:dns,306,0,0.0,,,,0,unscored,0.0,,,outlook.office365.com,,
1777725036.531538272,wireshark,8.8.8.8,192.168.1.7,53,41365,eth:ethertype:ip:udp:dns,261,0,0.0,,,,0,unscored,0.0,,,outlook.office365.com,,
1777725036.531564537,wireshark,192.168.1.7,8.8.8.8,39428,53,eth:ethertype:ip:udp:dns,81,0,0.0,,,,0,unscored,0.0,,,outlook.office365.com,,
1777725036.533464238,wireshark,52.98.163.34,192.168.1.7,443,58714,eth:ethertype:ip:tcp:tls,1139,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725036.533464642,wireshark,52.98.163.34,192.168.1.7,443,58714,eth:ethertype:ip:tcp,1434,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725036.533464754,wireshark,52.98.163.34,192.168.1.7,443,58714,eth:ethertype:ip:tcp,1434,0,0.0,,,,0,unscored,0.0,,·······A····,,,
1777725036.533464880,wireshark,52.98.163.34,192.168.1.7,443,58714,eth:ethertype:ip:tcp:tls,170,0,0.0,,,,0,unscored,0.0,,·······AP···,,,
1777725036.533464996,wireshark,52.98.163.34,192.168.1.7,443,58714,eth:ethertype:ip:tcp,1434,0,0.0,,,,0,unscored,0.0,,·······A····,,,
